"Time","Bitcoin"
"2016-12-25",5
"2017-01-01",7
"2017-01-08",6
"2017-01-15",4
"2017-01-22",4
"2017-01-29",4
"2017-02-05",4
"2017-02-12",4
"2017-02-19",5
"2017-02-26",6
"2017-03-05",6
"2017-03-12",6
"2017-03-19",5
"2017-03-26",5
"2017-04-02",5
"2017-04-09",5
"2017-04-16",5
"2017-04-23",5
"2017-04-30",7
"2017-05-07",9
"2017-05-14",11
"2017-05-21",19
"2017-05-28",12
"2017-06-04",12
"2017-06-11",13
"2017-06-18",10
"2017-06-25",12
"2017-07-02",9
"2017-07-09",10
"2017-07-16",12
"2017-07-23",11
"2017-07-30",15
"2017-08-06",15
"2017-08-13",19
"2017-08-20",16
"2017-08-27",17
"2017-09-03",18
"2017-09-10",21
"2017-09-17",16
"2017-09-24",12
"2017-10-01",12
"2017-10-08",19
"2017-10-15",20
"2017-10-22",20
"2017-10-29",26
"2017-11-05",28
"2017-11-12",32
"2017-11-19",27
"2017-11-26",62
"2017-12-03",91
"2017-12-10",83
"2017-12-17",100
"2017-12-24",63
"2017-12-31",47
"2018-01-07",75
"2018-01-14",100
"2018-01-21",66
"2018-01-28",71
"2018-02-04",82
"2018-02-11",49
"2018-02-18",43
"2018-02-25",35
"2018-03-04",32
"2018-03-11",34
"2018-03-18",31
"2018-03-25",31
"2018-04-01",31
"2018-04-08",28
"2018-04-15",25
"2018-04-22",25
"2018-04-29",23
"2018-05-06",22
"2018-05-13",20
"2018-05-20",20
"2018-05-27",19
"2018-06-03",17
"2018-06-10",21
"2018-06-17",18
"2018-06-24",19
"2018-07-01",17
"2018-07-08",16
"2018-07-15",20
"2018-07-22",21
"2018-07-29",18
"2018-08-05",19
"2018-08-12",18
"2018-08-19",17
"2018-08-26",17
"2018-09-02",20
"2018-09-09",17
"2018-09-16",16
"2018-09-23",15
"2018-09-30",13
"2018-10-07",14
"2018-10-14",14
"2018-10-21",13
"2018-10-28",13
"2018-11-04",13
"2018-11-11",17
"2018-11-18",24
"2018-11-25",25
"2018-12-02",20
"2018-12-09",19
"2018-12-16",20
"2018-12-23",17
"2018-12-30",15
"2019-01-06",34
"2019-01-13",31
"2019-01-20",27
"2019-01-27",29
"2019-02-03",32
"2019-02-10",28
"2019-02-17",33
"2019-02-24",31
"2019-03-03",28
"2019-03-10",27
"2019-03-17",28
"2019-03-24",24
"2019-03-31",47
"2019-04-07",40
"2019-04-14",33
"2019-04-21",36
"2019-04-28",31
"2019-05-05",46
"2019-05-12",73
"2019-05-19",54
"2019-05-26",55
"2019-06-02",48
"2019-06-09",44
"2019-06-16",64
"2019-06-23",100
"2019-06-30",68
"2019-07-07",64
"2019-07-14",64
"2019-07-21",53
"2019-07-28",47
"2019-08-04",56
"2019-08-11",50
"2019-08-18",45
"2019-08-25",43
"2019-09-01",42
"2019-09-08",37
"2019-09-15",36
"2019-09-22",46
"2019-09-29",39
"2019-10-06",37
"2019-10-13",33
"2019-10-20",42
"2019-10-27",41
"2019-11-03",36
"2019-11-10",34
"2019-11-17",37
"2019-11-24",39
"2019-12-01",35
"2019-12-08",32
"2019-12-15",38
"2019-12-22",33
"2019-12-29",34
"2020-01-05",27
"2020-01-12",27
"2020-01-19",24
"2020-01-26",25
"2020-02-02",25
"2020-02-09",31
"2020-02-16",28
"2020-02-23",27
"2020-03-01",26
"2020-03-08",48
"2020-03-15",50
"2020-03-22",37
"2020-03-29",32
"2020-04-05",32
"2020-04-12",31
"2020-04-19",30
"2020-04-26",38
"2020-05-03",43
"2020-05-10",51
"2020-05-17",38
"2020-05-24",31
"2020-05-31",33
"2020-06-07",27
"2020-06-14",26
"2020-06-21",26
"2020-06-28",24
"2020-07-05",24
"2020-07-12",29
"2020-07-19",24
"2020-07-26",40
"2020-08-02",37
"2020-08-09",33
"2020-08-16",34
"2020-08-23",27
"2020-08-30",28
"2020-09-06",27
"2020-09-13",25
"2020-09-20",23
"2020-09-27",22
"2020-10-04",21
"2020-10-11",22
"2020-10-18",32
"2020-10-25",33
"2020-11-01",37
"2020-11-08",39
"2020-11-15",52
"2020-11-22",59
"2020-11-29",53
"2020-12-06",40
"2020-12-13",65
"2020-12-20",68
"2020-12-27",100
"2021-01-03",89
"2021-01-10",81
"2021-01-17",53
"2021-01-24",48
"2021-01-31",45
"2021-02-07",79
"2021-02-14",74
"2021-02-21",84
"2021-02-28",55
"2021-03-07",51
"2021-03-14",52
"2021-03-21",47
"2021-03-28",43
"2021-04-04",42
"2021-04-11",52
"2021-04-18",71
"2021-04-25",52
"2021-05-02",44
"2021-05-09",60
"2021-05-16",100
"2021-05-23",74
"2021-05-30",51
"2021-06-06",53
"2021-06-13",41
"2021-06-20",51
"2021-06-27",34
"2021-07-04",29
"2021-07-11",28
"2021-07-18",34
"2021-07-25",39
"2021-08-01",31
"2021-08-08",34
"2021-08-15",33
"2021-08-22",33
"2021-08-29",28
"2021-09-05",38
"2021-09-12",27
"2021-09-19",35
"2021-09-26",28
"2021-10-03",34
"2021-10-10",36
"2021-10-17",46
"2021-10-24",37
"2021-10-31",31
"2021-11-07",38
"2021-11-14",37
"2021-11-21",39
"2021-11-28",37
"2021-12-05",38
"2021-12-12",35
"2021-12-19",32
"2021-12-26",32
"2022-01-02",58
"2022-01-09",55
"2022-01-16",57
"2022-01-23",73
"2022-01-30",55
"2022-02-06",54
"2022-02-13",43
"2022-02-20",58
"2022-02-27",53
"2022-03-06",45
"2022-03-13",43
"2022-03-20",39
"2022-03-27",43
"2022-04-03",37
"2022-04-10",36
"2022-04-17",32
"2022-04-24",33
"2022-05-01",36
"2022-05-08",79
"2022-05-15",54
"2022-05-22",43
"2022-05-29",36
"2022-06-05",34
"2022-06-12",100
"2022-06-19",73
"2022-06-26",53
"2022-07-03",49
"2022-07-10",44
"2022-07-17",44
"2022-07-24",38
"2022-07-31",34
"2022-08-07",32
"2022-08-14",34
"2022-08-21",29
"2022-08-28",31
"2022-09-04",31
"2022-09-11",31
"2022-09-18",32
"2022-09-25",29
"2022-10-02",26
"2022-10-09",25
"2022-10-16",23
"2022-10-23",25
"2022-10-30",25
"2022-11-06",48
"2022-11-13",43
"2022-11-20",33
"2022-11-27",30
"2022-12-04",27
"2022-12-11",27
"2022-12-18",24
"2022-12-25",26
"2023-01-01",57
"2023-01-08",68
"2023-01-15",76
"2023-01-22",74
"2023-01-29",69
"2023-02-05",60
"2023-02-12",64
"2023-02-19",63
"2023-02-26",57
"2023-03-05",63
"2023-03-12",84
"2023-03-19",88
"2023-03-26",78
"2023-04-02",70
"2023-04-09",80
"2023-04-16",70
"2023-04-23",66
"2023-04-30",61
"2023-05-07",62
"2023-05-14",51
"2023-05-21",54
"2023-05-28",54
"2023-06-04",61
"2023-06-11",58
"2023-06-18",68
"2023-06-25",64
"2023-07-02",61
"2023-07-09",63
"2023-07-16",59
"2023-07-23",60
"2023-07-30",54
"2023-08-06",56
"2023-08-13",65
"2023-08-20",60
"2023-08-27",58
"2023-09-03",52
"2023-09-10",50
"2023-09-17",51
"2023-09-24",48
"2023-10-01",52
"2023-10-08",52
"2023-10-15",56
"2023-10-22",84
"2023-10-29",67
"2023-11-05",71
"2023-11-12",66
"2023-11-19",66
"2023-11-26",65
"2023-12-03",100
"2023-12-10",78
"2023-12-17",77
"2023-12-24",74
"2023-12-31",91
"2024-01-07",68
"2024-01-14",40
"2024-01-21",36
"2024-01-28",31
"2024-02-04",31
"2024-02-11",48
"2024-02-18",36
"2024-02-25",68
"2024-03-03",84
"2024-03-10",75
"2024-03-17",62
"2024-03-24",54
"2024-03-31",47
"2024-04-07",51
"2024-04-14",66
"2024-04-21",40
"2024-04-28",41
"2024-05-05",34
"2024-05-12",33
"2024-05-19",36
"2024-05-26",31
"2024-06-02",32
"2024-06-09",31
"2024-06-16",29
"2024-06-23",30
"2024-06-30",34
"2024-07-07",34
"2024-07-14",37
"2024-07-21",37
"2024-07-28",35
"2024-08-04",51
"2024-08-11",34
"2024-08-18",32
"2024-08-25",29
"2024-09-01",31
"2024-09-08",29
"2024-09-15",30
"2024-09-22",30
"2024-09-29",28
"2024-10-06",28
"2024-10-13",28
"2024-10-20",27
"2024-10-27",36
"2024-11-03",55
"2024-11-10",100
"2024-11-17",87
"2024-11-24",66
"2024-12-01",78
"2024-12-08",63
"2024-12-15",67
"2024-12-22",57
"2024-12-29",52
"2025-01-05",59
"2025-01-12",59
"2025-01-19",73
"2025-01-26",56
"2025-02-02",59
"2025-02-09",42
"2025-02-16",40
"2025-02-23",65
"2025-03-02",66